Country/Other,#,Total Cases,Total Deaths,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Population,GDP Q2,GDP Q3
Costa Rica,46,90238,1124,35444,17668,220,5107364,,
Japan,47,89673,1634,5418,710,13,126364241,-7.9,
Portugal,48,89121,2110,32964,8748,207,10188093,,
Ethiopia,49,85718,1305,45106,741,11,115754407,,
Belarus,50,85121,911,5992,9009,96,9448426,,
Honduras,51,84852,2528,49552,8529,254,9948994,,
Venezuela,52,84391,710,7419,2970,25,28412595,,
Bahrain,53,76272,287,3821,44403,167,1717720,,
Switzerland,54,68704,2108,16796,7922,243,8672694,-7.3,
Moldova,55,63275,1495,16678,15696,371,4031248,,
Uzbekistan,56,61859,512,2584,1841,15,33606184,,
Nigeria,57,60655,1116,7533,292,5,207558418,,
Austria,58,58672,872,11954,6504,97,9021107,,
Armenia,59,58624,1039,10872,19773,350,2964837,,
Singapore,60,57889,28,121,9873,5,5863469,,
Lebanon,61,55869,479,30809,8196,70,6816569,,
Algeria,62,53399,1818,14089,1212,41,44073388,,
Paraguay,63,51197,1108,16764,7153,155,7157366,,
Kyrgyzstan,64,50201,1094,4223,7659,167,6554495,,
Ghana,65,47126,310,347,1508,10,31254234,,
Libya,66,45821,669,19851,6643,97,6897716,,
Palestine,67,45658,393,5961,8893,77,5134431,,
Ireland,68,44159,1830,18965,8915,369,4953443,,
Azerbaijan,69,42750,616,2564,4206,61,10165205,,
Kenya,70,41937,787,9810,775,15,54101728,,
Hungary,71,40782,1023,27595,4225,106,9653246,,
Afghanistan,72,39994,1481,5159,1021,38,39172730,,
Serbia,73,35251,768,2947,4039,88,8727157,,
Tunisia,74,34790,512,29246,2935,43,11853762,,
Denmark,75,33593,675,5238,5794,116,5798059,,
Bosnia and Herzegovina,76,31655,958,6623,9666,293,3274879,,
El Salvador,77,30766,904,3775,4736,139,6495582,,
Myanmar,78,30437,693,17975,558,13,54514046,,
Jordan,79,28127,225,21541,2749,22,10231942,,
Australia,80,27337,904,1392,1069,35,25583815,-7,
Bulgaria,81,25774,923,8712,3717,133,6933192,,
S. Korea,82,24889,438,1421,485,9,51281903,-3.2,
Greece,83,23060,462,12609,2216,44,10408260,,
Slovakia,84,22296,66,15521,4083,12,5460405,,
Croatia,85,21741,334,3210,5305,82,4097898,,
Cameroon,86,21203,423,663,793,16,26729331,,
North Macedonia,87,21193,800,3996,10173,384,2083349,,
Ivory Coast,88,20183,120,203,760,5,26559676,,
Malaysia,89,17540,167,5768,540,5,32483415,,
Madagascar,90,16754,237,393,601,8,27888401,,
