Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
Guadeloupe,73.0,0.0,1.0,0.0,0.0,72.0,4.0,182.0,2.0
Montenegro,69.0,16.0,1.0,0.0,0.0,68.0,1.0,110.0,2.0
Cuba,67.0,10.0,1.0,0.0,1.0,65.0,2.0,6.0,0.09
Channel Islands,66.0,20.0,1.0,1.0,0.0,65.0,0.0,380.0,6.0
Martinique,66.0,0.0,1.0,0.0,0.0,65.0,7.0,176.0,3.0
Nigeria,65.0,14.0,1.0,0.0,2.0,62.0,0.0,0.3,0.0
Trinidad and Tobago,65.0,5.0,1.0,0.0,0.0,64.0,0.0,46.0,0.7
Liechtenstein,56.0,5.0,0.0,0.0,0.0,56.0,0.0,1469.0,0.0
Honduras,52.0,0.0,1.0,1.0,0.0,51.0,0.0,5.0,0.1
DRC,51.0,3.0,3.0,1.0,0.0,48.0,0.0,0.6,0.03
Bangladesh,44.0,5.0,5.0,0.0,11.0,28.0,1.0,0.3,0.03
Kyrgyzstan,44.0,0.0,0.0,0.0,0.0,44.0,0.0,7.0,0.0
Bolivia,43.0,11.0,0.0,0.0,0.0,43.0,0.0,4.0,0.0
Paraguay,41.0,4.0,3.0,0.0,0.0,38.0,1.0,6.0,0.4
Rwanda,41.0,0.0,0.0,0.0,0.0,41.0,0.0,3.0,0.0
Mayotte,36.0,0.0,0.0,0.0,0.0,36.0,0.0,132.0,0.0
Gibraltar,35.0,9.0,0.0,0.0,13.0,22.0,0.0,1039.0,0.0
Monaco,33.0,2.0,0.0,0.0,1.0,32.0,0.0,841.0,0.0
Kenya,31.0,3.0,1.0,1.0,1.0,29.0,0.0,0.6,0.02
Macao,31.0,0.0,0.0,0.0,10.0,21.0,0.0,48.0,0.0
French Polynesia,30.0,5.0,0.0,0.0,0.0,30.0,0.0,107.0,0.0
French Guiana,28.0,0.0,0.0,0.0,6.0,22.0,0.0,94.0,0.0
Jamaica,26.0,0.0,1.0,0.0,2.0,23.0,0.0,9.0,0.3
Isle of Man,25.0,2.0,0.0,0.0,0.0,25.0,0.0,294.0,0.0
Guatemala,24.0,0.0,1.0,0.0,4.0,19.0,0.0,1.0,0.06
Madagascar,23.0,4.0,0.0,0.0,0.0,23.0,0.0,0.8,0.0
Togo,23.0,0.0,0.0,0.0,1.0,22.0,0.0,3.0,0.0
Aruba,19.0,0.0,0.0,0.0,1.0,18.0,0.0,178.0,0.0
Barbados,18.0,0.0,0.0,0.0,0.0,18.0,0.0,63.0,0.0
Zambia,16.0,4.0,0.0,0.0,0.0,16.0,0.0,0.9,0.0
New Caledonia,14.0,0.0,0.0,0.0,0.0,14.0,0.0,49.0,0.0
Uganda,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.3,0.0
El Salvador,13.0,4.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0
Maldives,13.0,0.0,0.0,0.0,8.0,5.0,0.0,24.0,0.0
