Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Tajikistan,71.0,4013.0,83.0,47.0,0.0,2089.0,1877.0,0.0,422.0,5.0,0.0,0.0,9518158.0
Hungary,72.0,3892.0,16.0,527.0,1.0,2156.0,1209.0,25.0,403.0,55.0,187965.0,19454.0,9662256.0
Guinea,73.0,3844.0,138.0,23.0,0.0,2135.0,1686.0,24.0,293.0,2.0,14407.0,1100.0,13099458.0
Senegal,74.0,3739.0,94.0,42.0,0.0,1858.0,1839.0,14.0,224.0,3.0,43129.0,2582.0,16702826.0
Uzbekistan,75.0,3702.0,79.0,15.0,0.0,2859.0,828.0,9.0,111.0,0.4,460000.0,13761.0,33427196.0
Djibouti,76.0,3569.0,215.0,24.0,0.0,1521.0,2024.0,0.0,3617.0,24.0,28260.0,28639.0,986755.0
DRC,77.0,3195.0,125.0,72.0,0.0,454.0,2669.0,0.0,36.0,0.8,0.0,0.0,89301493.0
Thailand,78.0,3082.0,1.0,57.0,0.0,2965.0,60.0,1.0,44.0,0.8,420529.0,6026.0,69785922.0
Ivory Coast,79.0,2951.0,118.0,33.0,0.0,1467.0,1451.0,0.0,112.0,1.0,27650.0,1051.0,26318014.0
Greece,80.0,2918.0,1.0,179.0,4.0,1374.0,1365.0,12.0,280.0,17.0,182423.0,17495.0,10426947.0
Gabon,81.0,2655.0,0.0,17.0,0.0,722.0,1916.0,15.0,1195.0,8.0,14122.0,6359.0,2220923.0
El Salvador,82.0,2582.0,65.0,46.0,0.0,1063.0,1473.0,53.0,398.0,7.0,91837.0,14165.0,6483535.0
Bosnia and Herzegovina,83.0,2524.0,14.0,154.0,1.0,1888.0,482.0,4.0,769.0,47.0,65900.0,20077.0,3282366.0
Bulgaria,84.0,2519.0,6.0,140.0,0.0,1090.0,1289.0,17.0,362.0,20.0,81694.0,11751.0,6952375.0
North Macedonia,85.0,2315.0,89.0,140.0,7.0,1569.0,606.0,21.0,1111.0,67.0,30302.0,14545.0,2083381.0
Croatia,86.0,2246.0,0.0,103.0,0.0,2077.0,66.0,4.0,547.0,25.0,66695.0,16239.0,4107186.0
Haiti,87.0,2124.0,259.0,44.0,3.0,24.0,2056.0,0.0,186.0,4.0,5244.0,460.0,11390662.0
Cuba,88.0,2083.0,38.0,83.0,0.0,1826.0,174.0,3.0,184.0,7.0,107037.0,9450.0,11327160.0
Somalia,89.0,2023.0,47.0,79.0,1.0,361.0,1583.0,2.0,128.0,5.0,0.0,0.0,15851530.0
Kenya,90.0,2021.0,59.0,69.0,5.0,482.0,1470.0,7.0,38.0,1.0,80054.0,1492.0,53663836.0
Mayotte,91.0,1934.0,235.0,24.0,3.0,1473.0,437.0,10.0,7105.0,88.0,5200.0,19103.0,272210.0
Estonia,92.0,1870.0,1.0,68.0,0.0,1625.0,177.0,0.0,1410.0,51.0,84156.0,63444.0,1326464.0
Maldives,93.0,1829.0,56.0,6.0,1.0,488.0,1335.0,9.0,3389.0,11.0,11775.0,21818.0,539703.0
Kyrgyzstan,94.0,1817.0,69.0,16.0,0.0,1181.0,620.0,4.0,279.0,2.0,111859.0,17170.0,6514756.0
Nepal,95.0,1811.0,239.0,8.0,0.0,221.0,1582.0,0.0,62.0,0.3,185660.0,6382.0,29090429.0
Iceland,96.0,1806.0,0.0,10.0,0.0,1794.0,2.0,0.0,5295.0,29.0,61122.0,179211.0,341061.0
Lithuania,97.0,1678.0,3.0,70.0,0.0,1236.0,372.0,17.0,616.0,26.0,304854.0,111872.0,2725022.0
Sri Lanka,98.0,1643.0,10.0,11.0,1.0,811.0,821.0,1.0,77.0,0.5,65355.0,3053.0,21405965.0
Slovakia,99.0,1522.0,1.0,28.0,0.0,1368.0,126.0,0.0,279.0,5.0,172875.0,31665.0,5459433.0
Venezuela,100.0,1510.0,0.0,14.0,0.0,302.0,1194.0,3.0,53.0,0.5,975825.0,34309.0,28442184.0
New Zealand,101.0,1504.0,0.0,22.0,0.0,1481.0,1.0,0.0,301.0,4.0,281609.0,56298.0,5002100.0
Slovenia,102.0,1473.0,0.0,109.0,1.0,1358.0,6.0,1.0,709.0,52.0,80407.0,38677.0,2078915.0
Guinea-Bissau,103.0,1339.0,83.0,8.0,0.0,53.0,1278.0,0.0,682.0,4.0,1500.0,764.0,1963739.0
Mali,104.0,1315.0,50.0,78.0,1.0,744.0,493.0,0.0,65.0,4.0,3483.0,172.0,20195689.0
Equatorial Guinea,105.0,1306.0,0.0,12.0,0.0,200.0,1094.0,0.0,934.0,9.0,8268.0,5912.0,1398520.0
Ethiopia,106.0,1257.0,85.0,12.0,1.0,217.0,1028.0,4.0,11.0,0.1,112377.0,980.0,114700869.0
Lebanon,107.0,1233.0,13.0,27.0,0.0,715.0,491.0,4.0,181.0,4.0,84176.0,12328.0,6827788.0
Albania,108.0,1143.0,6.0,33.0,0.0,877.0,233.0,3.0,397.0,11.0,14825.0,5151.0,2878043.0
Zambia,109.0,1089.0,32.0,7.0,0.0,912.0,170.0,1.0,59.0,0.4,28236.0,1540.0,18335514.0
Hong Kong,110.0,1088.0,3.0,4.0,0.0,1037.0,47.0,2.0,145.0,0.5,202930.0,27087.0,7491921.0
Tunisia,111.0,1084.0,7.0,48.0,0.0,964.0,72.0,2.0,92.0,4.0,52503.0,4446.0,11808177.0
Costa Rica,112.0,1084.0,28.0,10.0,0.0,676.0,398.0,5.0,213.0,2.0,26622.0,5230.0,5090223.0
CAR,113.0,1069.0,58.0,4.0,2.0,23.0,1042.0,0.0,222.0,0.8,15021.0,3115.0,4822363.0
Latvia,114.0,1066.0,0.0,24.0,0.0,745.0,297.0,3.0,565.0,13.0,109723.0,58124.0,1887728.0
Paraguay,115.0,995.0,9.0,11.0,0.0,488.0,496.0,2.0,140.0,2.0,30004.0,4211.0,7125055.0
South Sudan,116.0,994.0,0.0,10.0,0.0,6.0,978.0,0.0,89.0,0.9,3356.0,300.0,11182555.0
Niger,117.0,958.0,0.0,64.0,0.0,839.0,55.0,0.0,40.0,3.0,6047.0,251.0,24120048.0
Cyprus,118.0,949.0,5.0,17.0,0.0,790.0,142.0,4.0,786.0,14.0,117411.0,97305.0,1206632.0
Sierra Leone,119.0,865.0,4.0,46.0,0.0,475.0,344.0,0.0,109.0,6.0,0.0,0.0,7962417.0
Burkina Faso,120.0,847.0,0.0,53.0,0.0,720.0,74.0,0.0,41.0,3.0,0.0,0.0,20849535.0
Madagascar,121.0,826.0,55.0,6.0,0.0,174.0,646.0,8.0,30.0,0.2,10249.0,371.0,27624966.0
Uruguay,122.0,823.0,0.0,22.0,0.0,685.0,116.0,5.0,237.0,6.0,43911.0,12644.0,3472758.0
Georgia,123.0,794.0,11.0,12.0,0.0,624.0,158.0,6.0,199.0,3.0,56987.0,14283.0,3989764.0
Chad,124.0,790.0,12.0,66.0,1.0,539.0,185.0,0.0,48.0,4.0,0.0,0.0,16381333.0
Andorra,125.0,764.0,0.0,51.0,0.0,694.0,19.0,4.0,9889.0,660.0,3750.0,48541.0,77255.0
