Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Finland,60.0,6493.0,50.0,306.0,2.0,4800.0,1387.0,22.0,1172.0,55.0,160177.0,28914.0,5539799.0
Oman,61.0,6370.0,327.0,31.0,1.0,1821.0,4518.0,31.0,1251.0,6.0,72000.0,14143.0,5091036.0
Ghana,62.0,6269.0,0.0,31.0,0.0,1898.0,4340.0,8.0,202.0,1.0,187929.0,6063.0,30996750.0
Armenia,63.0,5606.0,335.0,70.0,3.0,2581.0,2955.0,10.0,1892.0,24.0,45822.0,15467.0,2962649.0
Bolivia,64.0,4919.0,438.0,199.0,10.0,553.0,4167.0,3.0,422.0,17.0,14803.0,1270.0,11654953.0
Cameroon,65.0,4288.0,555.0,156.0,10.0,1808.0,2324.0,28.0,162.0,6.0,0.0,0.0,26466746.0
Luxembourg,66.0,3980.0,9.0,109.0,0.0,3741.0,130.0,6.0,6370.0,174.0,64981.0,104002.0,624808.0
Iraq,67.0,3877.0,153.0,140.0,6.0,2483.0,1254.0,0.0,97.0,3.0,149701.0,3732.0,40115676.0
Azerbaijan,68.0,3749.0,118.0,44.0,1.0,2340.0,1365.0,42.0,370.0,4.0,252496.0,24928.0,10129036.0
Hungary,69.0,3641.0,43.0,473.0,3.0,1509.0,1659.0,27.0,377.0,49.0,147511.0,15266.0,9662923.0
Sudan,70.0,3138.0,410.0,121.0,10.0,309.0,2708.0,0.0,72.0,3.0,281.0,6.0,43727573.0
Honduras,71.0,3100.0,145.0,151.0,4.0,355.0,2594.0,13.0,314.0,15.0,11315.0,1144.0,9886537.0
Guinea,72.0,3067.0,204.0,18.0,0.0,1575.0,1474.0,18.0,234.0,1.0,10304.0,787.0,13089690.0
Thailand,73.0,3037.0,3.0,56.0,0.0,2897.0,84.0,61.0,44.0,0.8,328073.0,4701.0,69781150.0
Uzbekistan,74.0,2964.0,25.0,13.0,0.0,2407.0,544.0,5.0,89.0,0.4,460000.0,13767.0,33413938.0
Greece,75.0,2853.0,3.0,168.0,2.0,1374.0,1311.0,21.0,274.0,16.0,144078.0,13816.0,10428331.0
Senegal,76.0,2812.0,98.0,33.0,3.0,1251.0,1528.0,6.0,168.0,2.0,24599.0,1474.0,16690729.0
Bosnia and Herzegovina,77.0,2350.0,12.0,140.0,4.0,1596.0,614.0,4.0,716.0,43.0,56997.0,17362.0,3282920.0
Tajikistan,78.0,2350.0,210.0,44.0,3.0,470.0,1836.0,0.0,247.0,5.0,0.0,0.0,9512290.0
Bulgaria,79.0,2331.0,39.0,120.0,4.0,727.0,1484.0,31.0,335.0,17.0,70155.0,10089.0,6953796.0
Ivory Coast,80.0,2301.0,70.0,29.0,0.0,1100.0,1172.0,0.0,87.0,1.0,21069.0,801.0,26300113.0
Guatemala,81.0,2265.0,132.0,45.0,2.0,159.0,2061.0,5.0,127.0,3.0,20820.0,1165.0,17877078.0
Croatia,82.0,2237.0,3.0,97.0,1.0,1978.0,162.0,9.0,545.0,24.0,58091.0,14141.0,4107874.0
Djibouti,83.0,2047.0,219.0,10.0,1.0,1055.0,982.0,0.0,2075.0,10.0,21156.0,21448.0,986363.0
Cuba,84.0,1908.0,8.0,80.0,1.0,1603.0,225.0,5.0,168.0,7.0,89031.0,7860.0,11327348.0
North Macedonia,85.0,1898.0,40.0,111.0,1.0,1378.0,409.0,21.0,911.0,53.0,23316.0,11191.0,2083383.0
DRC,86.0,1835.0,104.0,61.0,0.0,303.0,1471.0,0.0,21.0,0.7,0.0,0.0,89226763.0
Iceland,87.0,1803.0,0.0,10.0,0.0,1790.0,3.0,0.0,5287.0,29.0,58225.0,170748.0,341000.0
Estonia,88.0,1800.0,6.0,64.0,0.0,1488.0,248.0,2.0,1357.0,48.0,73732.0,55586.0,1326440.0
El Salvador,89.0,1640.0,69.0,33.0,2.0,544.0,1063.0,26.0,253.0,5.0,65226.0,10062.0,6482643.0
Somalia,90.0,1594.0,21.0,61.0,0.0,204.0,1329.0,2.0,101.0,4.0,0.0,0.0,15839369.0
Lithuania,91.0,1593.0,16.0,61.0,1.0,1049.0,483.0,17.0,584.0,22.0,253004.0,92810.0,2726052.0
Gabon,92.0,1567.0,0.0,12.0,0.0,365.0,1190.0,6.0,706.0,5.0,8622.0,3885.0,2219485.0
New Zealand,93.0,1503.0,0.0,21.0,0.0,1452.0,30.0,1.0,312.0,4.0,244838.0,50818.0,4817906.0
Slovakia,94.0,1502.0,6.0,28.0,0.0,1245.0,229.0,3.0,275.0,5.0,151778.0,27801.0,5459361.0
Mayotte,95.0,1475.0,0.0,19.0,0.0,894.0,562.0,11.0,5422.0,70.0,5200.0,19116.0,272030.0
Slovenia,96.0,1468.0,0.0,106.0,1.0,1340.0,22.0,3.0,706.0,51.0,74228.0,35705.0,2078908.0
Kyrgyzstan,97.0,1313.0,43.0,14.0,0.0,923.0,376.0,5.0,202.0,2.0,94441.0,14503.0,6511813.0
Maldives,98.0,1216.0,30.0,4.0,0.0,91.0,1121.0,9.0,2254.0,7.0,11775.0,21828.0,539443.0
Kenya,99.0,1109.0,80.0,50.0,0.0,375.0,684.0,1.0,21.0,0.9,52507.0,979.0,53631400.0
Guinea-Bissau,100.0,1109.0,20.0,6.0,0.0,42.0,1061.0,0.0,565.0,3.0,1500.0,764.0,1962465.0
Hong Kong,101.0,1064.0,8.0,4.0,0.0,1029.0,31.0,1.0,142.0,0.5,168291.0,22468.0,7490261.0
Sri Lanka,102.0,1048.0,20.0,9.0,0.0,604.0,435.0,1.0,49.0,0.4,47521.0,2220.0,21403517.0
Tunisia,103.0,1046.0,1.0,47.0,0.0,883.0,116.0,3.0,89.0,4.0,45308.0,3838.0,11804800.0
Latvia,104.0,1025.0,9.0,22.0,1.0,694.0,309.0,2.0,543.0,12.0,94621.0,50109.0,1888294.0
Lebanon,105.0,1024.0,63.0,26.0,0.0,663.0,335.0,3.0,150.0,4.0,67510.0,9886.0,6828619.0
Albania,106.0,969.0,5.0,31.0,0.0,771.0,167.0,3.0,337.0,11.0,12759.0,4433.0,2878129.0
Mali,107.0,947.0,16.0,60.0,5.0,558.0,329.0,0.0,47.0,3.0,3483.0,173.0,20179688.0
Niger,108.0,924.0,4.0,60.0,2.0,753.0,111.0,0.0,38.0,2.0,5949.0,247.0,24095961.0
Cyprus,109.0,923.0,1.0,17.0,0.0,561.0,345.0,10.0,765.0,14.0,95349.0,79036.0,1206392.0
Costa Rica,110.0,903.0,6.0,10.0,0.0,592.0,301.0,3.0,177.0,2.0,21929.0,4309.0,5088953.0
Equatorial Guinea,111.0,903.0,13.0,10.0,3.0,22.0,871.0,0.0,646.0,7.0,854.0,611.0,1397254.0
Venezuela,112.0,882.0,58.0,10.0,0.0,262.0,610.0,2.0,31.0,0.4,697691.0,24528.0,28444376.0
Zambia,113.0,866.0,34.0,7.0,0.0,302.0,557.0,1.0,47.0,0.4,19432.0,1061.0,18321393.0
Paraguay,114.0,836.0,3.0,11.0,0.0,256.0,569.0,0.0,117.0,2.0,21987.0,3087.0,7122661.0
Burkina Faso,115.0,812.0,3.0,52.0,0.0,669.0,91.0,0.0,39.0,2.0,0.0,0.0,20833816.0
Andorra,116.0,762.0,0.0,51.0,0.0,639.0,72.0,3.0,9864.0,660.0,3750.0,48542.0,77252.0
Uruguay,117.0,749.0,3.0,20.0,0.0,594.0,135.0,4.0,216.0,6.0,36537.0,10522.0,3472430.0
Georgia,118.0,721.0,8.0,12.0,0.0,485.0,224.0,6.0,181.0,3.0,44098.0,11052.0,3989972.0
Diamond Princess,119.0,712.0,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
Jordan,120.0,684.0,12.0,9.0,0.0,457.0,218.0,5.0,67.0,0.9,156663.0,15371.0,10191845.0
Haiti,121.0,663.0,67.0,22.0,0.0,21.0,620.0,0.0,58.0,2.0,2270.0,199.0,11386865.0
San Marino,122.0,658.0,2.0,41.0,0.0,235.0,382.0,1.0,19397.0,1209.0,3779.0,111399.0,33923.0
Malta,123.0,599.0,15.0,6.0,0.0,468.0,125.0,1.0,1357.0,14.0,56224.0,127372.0,441416.0
Chad,124.0,588.0,23.0,58.0,1.0,186.0,344.0,0.0,36.0,4.0,0.0,0.0,16368402.0
