Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,1_st case
Bhutan,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,Mar 05 
CAR,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0,Mar 14 
Chad,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,Mar 18 
Liberia,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0,Mar 15 
Saint Lucia,3.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,Mar 12 
Sint Maarten,3.0,0.0,0.0,0.0,0.0,3.0,0.0,70.0,0.0,Mar 17 
Somalia,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,Mar 15 
MS Zaandam,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Mar 26 
Anguilla,2.0,0.0,0.0,0.0,0.0,2.0,0.0,133.0,0.0,Mar 25 
Belize,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,Mar 22 
British Virgin Islands,2.0,0.0,0.0,0.0,0.0,2.0,0.0,66.0,0.0,Mar 24 
Guinea-Bissau,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Mar 24 
Saint Kitts and Nevis,2.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0,Mar 24 
Turks and Caicos,2.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,0.0,Mar 22 
Libya,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Mar 23 
Papua New Guinea,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Mar 19 
St. Vincent Grenadines,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,Mar 10 
Timor-Leste,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,Mar 20 
China,81394.0,54.0,3295.0,3.0,74971.0,3128.0,886.0,57.0,2.0,Jan 10 
