Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
Syria,10.0,0.0,2.0,0.0,0.0,8.0,0.0,0.6,0.1
Greenland,10.0,0.0,0.0,0.0,2.0,8.0,0.0,176.0,0.0
Libya,10.0,2.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0
Seychelles,10.0,2.0,0.0,0.0,0.0,10.0,0.0,102.0,0.0
Benin,9.0,3.0,0.0,0.0,1.0,8.0,0.0,0.7,0.0
Grenada,9.0,0.0,0.0,0.0,0.0,9.0,0.0,80.0,0.0
Laos,9.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Suriname,9.0,1.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0
Eswatini,9.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0
Zimbabwe,8.0,1.0,1.0,0.0,0.0,7.0,0.0,0.5,0.07
Guinea-Bissau,8.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
Mozambique,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.0
Saint Kitts and Nevis,8.0,1.0,0.0,0.0,0.0,8.0,0.0,150.0,0.0
Angola,7.0,0.0,2.0,0.0,1.0,4.0,0.0,0.2,0.06
Sudan,7.0,1.0,2.0,0.0,1.0,4.0,0.0,0.2,0.05
Antigua and Barbuda,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0,0.0
Chad,7.0,2.0,0.0,0.0,0.0,7.0,0.0,0.4,0.0
Cabo Verde,6.0,0.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0
Mauritania,6.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.2
Vatican City,6.0,0.0,0.0,0.0,0.0,6.0,0.0,7491.0,0.0
St. Barth,6.0,0.0,0.0,0.0,1.0,5.0,0.0,607.0,0.0
Sint Maarten,6.0,0.0,0.0,0.0,0.0,6.0,0.0,140.0,0.0
Nicaragua,5.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.2
Nepal,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.2,0.0
Fiji,5.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0
Montserrat,5.0,0.0,0.0,0.0,0.0,5.0,0.0,1002.0,0.0
Somalia,5.0,2.0,0.0,0.0,1.0,4.0,0.0,0.3,0.0
Turks and Caicos,5.0,0.0,0.0,0.0,0.0,5.0,0.0,129.0,0.0
Botswana,4.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.4
Gambia,4.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.4
Bhutan,4.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0
Belize,3.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0
British Virgin Islands,3.0,1.0,0.0,0.0,0.0,3.0,0.0,99.0,0.0
CAR,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0
Liberia,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0
MS Zaandam,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Anguilla,2.0,0.0,0.0,0.0,0.0,2.0,0.0,133.0,0.0
Burundi,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0
Papua New Guinea,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
St. Vincent Grenadines,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0
Sierra Leone,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Timor-Leste,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0
