OBJECTID,Place,תאריך,שעות שהייה,x,y
1939941,ביג קרית גת - קרית גת,19/7/2020,מ 2020-07-19 11:00 עד 2020-07-19 11:30,34.77151560000004,31.60310470000007
1939942,ביג קרית גת - קרית גת,19/7/2020,מ 2020-07-19 11:30 עד 2020-07-19 12:00,34.77151560000004,31.60310470000007
1939943,תלמוד תורה דרכי שלום - אלעד,20/7/2020,מ 2020-07-20 08:00 עד 2020-07-20 13:00,34.95810620000003,32.05106630000006
1939944,"אחוזה 124, רעננה",22/7/2020,מ 2020-07-22 15:40 עד 2020-07-22 16:00,34.87399390000007,32.18082570000007
1939945,אסותא רמת החייל - תל אביב יפו,22/7/2020,מ 2020-07-22 16:25 עד 2020-07-22 16:40,34.83839510000007,32.10855000000004
1939946,"עתיר ידע 11, כפר סבא",20/7/2020,מ 2020-07-20 10:00 עד 2020-07-20 16:00,34.93305490000006,32.16269560000006
1939947,"אחוזה 124, רעננה",20/7/2020,מ 2020-07-20 07:45 עד 2020-07-20 08:15,34.87399390000007,32.18082570000007
1939948,אסותא רמת החייל - תל אביב יפו,20/7/2020,מ 2020-07-20 08:30 עד 2020-07-20 09:00,34.83839510000007,32.10855000000004
1939949,מכבי סוקולוב - הוד השרון,20/7/2020,מ 2020-07-20 16:20 עד 2020-07-20 16:50,34.90280290000004,32.162487300000066
1939950,"עתיר ידע 11, כפר סבא",21/7/2020,מ 2020-07-21 08:30 עד 2020-07-21 16:00,34.93305490000006,32.16269560000006
1939951,"עתיר ידע 11, כפר סבא",19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 16:00,34.93305490000006,32.16269560000006
1939952,"פאולוס השישי 104, נצרת",19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 19:00,35.29898970000005,32.70174480000003
1939953,רמי לוי שווק השקמה - חיפה,19/7/2020,מ 2020-07-19 14:30 עד 2020-07-19 15:30,35.02570240000006,32.802291800000035
1939954,"החשמונאים 18, באר שבע",19/7/2020,מ 2020-07-19 09:30 עד 2020-07-19 10:00,34.76267400000006,31.266650600000048
1939955,היפר דודו - פתח תקווה,19/7/2020,מ 2020-07-19 14:00 עד 2020-07-19 14:30,34.882560100000035,32.08943300000004
1939956,"דרך הנחשונים 37, אריאל",20/7/2020,מ 2020-07-20 11:30 עד 2020-07-20 12:00,35.172528500000055,32.10588240000004
1939957,"הרב יעקב לנדא 4, בני ברק",19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 20:00,34.83305960000007,32.07969340000005
