POSTCODE,05-26,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-17,06-18
85643,1,1,1,12,13,15,18,20,23,23,23,25,25,27,29,31
85546,14,21,23,23,23,23,23,23,25,25,27,27,27,27,27,27
85602,1,1,1,1,1,1,1,1,6,1,1,6,6,6,6,12
85632,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
85543,6,12,14,13,12,14,14,14,14,15,15,15,17,18,18,18
85631,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85192,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6
85641,28,29,33,33,36,36,36,36,42,43,45,48,49,50,55,56
85605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
85534,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
85629,51,61,64,70,76,81,84,85,88,90,92,97,99,100,108,114
85630,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85623,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
85606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
85619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85756,111,137,147,160,163,169,172,173,181,184,199,213,217,218,244,265
85739,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
85530,,,,,,,,,,,,,,,,
85749,18,22,26,26,26,26,26,27,29,30,30,31,31,33,39,41
85746,112,142,149,181,191,205,208,209,221,228,237,256,260,264,309,332
85747,25,30,32,37,37,39,39,39,39,41,41,46,47,47,50,52
85618,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6
85745,91,108,112,120,120,124,128,125,134,137,141,152,152,153,172,183
85614,97,108,110,112,113,115,115,116,118,120,122,127,128,130,134,139
85757,59,83,90,103,106,117,119,121,129,132,135,141,141,142,150,155
85750,23,29,32,35,35,35,35,36,39,39,40,45,45,46,51,51
85622,11,12,12,11,12,12,12,12,12,12,12,13,13,13,13,14
85552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85718,51,56,58,60,60,61,61,62,63,65,65,68,69,69,70,72
85742,34,35,38,43,43,44,44,44,45,48,50,55,57,58,61,63
85755,11,15,15,16,16,16,16,16,17,17,17,18,19,19,21,26
85730,56,69,75,88,92,94,96,97,101,107,110,116,118,120,131,137
85713,117,154,164,186,188,202,202,202,214,226,234,259,265,264,301,322
85704,56,64,67,75,76,80,83,79,86,91,92,97,96,97,102,113
85737,13,15,15,16,16,16,16,16,15,15,15,17,17,17,19,23
85748,35,38,42,45,47,47,47,47,49,51,52,53,53,53,54,54
85135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85707,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85705,95,113,120,131,142,147,148,150,158,163,178,195,196,198,232,252
85706,177,237,258,296,307,337,340,338,365,386,401,448,448,453,524,556
85710,95,109,119,126,125,131,136,137,151,158,164,180,180,180,193,201
85741,69,89,90,94,95,95,98,101,107,111,112,114,114,116,124,129
85711,119,144,151,160,164,168,173,173,186,191,196,202,203,202,227,247
85719,75,86,88,94,96,102,104,104,113,121,127,137,141,144,157,168
85540,0,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6
85716,56,65,68,71,71,74,74,74,79,86,90,97,99,102,118,121
85712,105,133,136,139,143,148,155,149,158,160,183,186,180,181,191,209
85715,23,26,25,29,30,32,32,32,37,39,41,44,44,43,46,50
85714,130,143,146,150,154,160,162,162,166,179,186,195,197,200,215,221
85701,16,18,18,18,18,18,18,18,19,20,22,24,24,24,24,26
85708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85901,29,53,55,58,65,70,74,73,75,74,73,85,79,81,90,98
85550,,,,,,,,,,,,,,,,
85542,,,,,,,,,,,,,,,,
85501,6,16,18,20,20,20,22,22,23,24,25,28,30,34,42,45
85911,,,,,,,,,,,,,,,,
85545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
85929,6,11,11,14,14,14,14,14,14,14,14,14,17,17,20,21
85935,13,13,13,13,13,14,14,14,16,16,16,17,19,19,21,23
85941,,,,,,,,,,,,,,,,
85923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85926,,,,,,,,,,,,,,,,
85532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85938,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
85925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85930,,,,,,,,,,,,,,,,
86046,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
86337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86301,35,36,36,36,38,38,38,39,39,43,42,41,41,41,41,46
86320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86334,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6
86305,15,16,16,17,21,21,21,23,23,23,22,22,22,22,23,24
86321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86303,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
86338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86323,6,12,12,13,14,14,14,14,14,14,14,15,15,15,16,17
86437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86004,161,198,203,208,213,217,219,219,225,226,238,242,244,246,251,258
86001,94,105,108,123,125,129,128,131,132,129,132,130,136,137,143,153
86336,13,13,13,13,14,14,14,17,17,17,18,19,19,19,18,20
86018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86326,87,91,92,96,96,97,98,101,103,105,114,114,114,114,117,119
86322,14,15,13,16,16,17,17,18,19,19,20,24,24,23,26,27
86327,11,6,6,6,11,11,11,12,12,14,14,15,15,15,16,17
86331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86005,30,38,38,43,44,45,45,45,49,50,51,51,50,52,55,58
86324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86315,13,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14
86335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
86314,44,46,46,44,44,44,45,45,46,51,52,52,52,52,54,57
86351,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
86015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86434,,,,,,,,,,,,,,,,
86052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86045,,,,,,,,,,,,,,,,
86020,,,,,,,,,,,,,,,,
86023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
86022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86040,148,164,166,170,172,172,174,171,173,175,175,176,177,176,179,183
86435,,,,,,,,,,,,,,,,
86016,,,,,,,,,,,,,,,,
86047,106,121,125,128,128,131,134,138,144,148,153,157,169,168,177,184
86505,,,,,,,,,,,,,,,,
86502,,,,,,,,,,,,,,,,
86035,,,,,,,,,,,,,,,,
85936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86025,14,19,20,21,20,20,20,19,23,23,23,25,31,29,43,44
85924,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
85937,13,14,14,15,16,18,18,18,18,19,19,18,21,21,20,21
85933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86511,,,,,,,,,,,,,,,,
85928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86029,1,1,1,6,6,6,6,6,6,1,1,1,6,6,6,11
86032,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6
85939,1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,6
86515,,,,,,,,,,,,,,,,
